,Dataset,Accuracy,Loss,Train-Accuracy,Train-Loss
0,spectrograms_16,0.9348914858096828,0.2825160279870033,0.9483333333333334,0.14246416083153557
1,spectrograms_8,0.9081803005008348,0.25637182891368865,0.9392592592592592,0.1671648425214431
2,spectrograms_deNoised_16,0.8898163606010017,0.32552958428859713,0.9374074074074074,0.1698381368728245
3,spectrograms_deNoised_8,0.9098497495826378,0.28186072781682014,0.9440740740740741,0.15847740418770734
