,Model,Dataset,Accuracy,Loss,Train-Accuracy,Train-Loss
0,Vit,spectrograms_16,0.48414023372287146,0.7065701901912689,0.5061111111111111,0.696695662947262
1,Vit,spectrograms_8,0.674457429048414,0.6179257601499557,0.7072222222222222,0.5871783761417164
2,Vit,spectrograms_deNoised_16,0.49248747913188645,0.6920789301395416,0.5464814814814815,0.6920589271713705
3,Vit,spectrograms_deNoised_8,0.4958263772954925,0.6930547297000885,0.5001851851851852,0.6932796436197618
4,Vit-Pretrained,spectrograms_16,0.7679465776293823,0.49293378591537473,0.7862962962962963,0.4748000432463253
5,Vit-Pretrained,spectrograms_8,0.7545909849749582,0.5050682187080383,0.7655555555555555,0.48639552733477426
6,Vit-Pretrained,spectrograms_deNoised_16,0.6143572621035058,0.67904292345047,0.6237037037037036,0.6778529321446138
7,Vit-Pretrained,spectrograms_deNoised_8,0.8046744574290484,0.4503367096185684,0.8224074074074074,0.41391812773311837
